"","x_vals","mean.h"
"h160","2020-10-29",-8.63906684900003
"h161","2020-10-30",-8.6377514424611
"h162","2020-11-02",-8.63262740065385
"h163","2020-11-03",-8.63517411291943
"h164","2020-11-04",-8.65766236808979
"h165","2020-11-05",-8.68936591147397
"h166","2020-11-06",-8.7357674333698
"h167","2020-11-09",-8.77487703059632
"h168","2020-11-10",-8.84456462135205
"h169","2020-11-11",-8.89954853529419
"h170","2020-11-12",-8.95322352340182
"h171","2020-11-13",-9.00985119331632
"h172","2020-11-16",-9.06636147833276
"h173","2020-11-17",-9.1441120311667
"h174","2020-11-18",-9.20729272863327
"h175","2020-11-19",-9.27109057488165
"h176","2020-11-20",-9.32731971765505
"h177","2020-11-23",-9.37873702432802
"h178","2020-11-24",-9.43385761753493
"h179","2020-11-25",-9.51932777362606
"h180","2020-11-27",-9.59515599659791
"h181","2020-11-30",-9.6585140067251
"h182","2020-12-01",-9.72892253350594
"h183","2020-12-02",-9.80655234582268
"h184","2020-12-03",-9.87955637798514
"h185","2020-12-04",-9.93905456932044
"h186","2020-12-07",-9.99916767644481
"h187","2020-12-08",-10.0525595287254
"h188","2020-12-09",-10.0927224671081
"h189","2020-12-10",-10.1247059310956
"h190","2020-12-11",-10.1454249564242
"h191","2020-12-14",-10.1546749544932
"h192","2020-12-15",-10.1620565790622
"h193","2020-12-16",-10.1877625345534
"h194","2020-12-17",-10.2032929201841
"h195","2020-12-18",-10.2110171769665
"h196","2020-12-21",-10.21407403655
"h197","2020-12-22",-10.2050550389158
"h198","2020-12-23",-10.1940871786772
"h199","2020-12-24",-10.1752642640639
"h200","2020-12-28",-10.1496625463158
"h201","2020-12-29",-10.1289278611261
"h202","2020-12-30",-10.100192958796
"h203","2020-12-31",-10.0596464407004
"h204","2021-01-04",-10.0105610214751
"h205","2021-01-05",-9.97044159173359
"h206","2021-01-06",-9.92319727307481
"h207","2021-01-07",-9.90426615752403
"h208","2021-01-08",-9.89156460339587
"h209","2021-01-11",-9.87362959165072
"h210","2021-01-12",-9.85590681280617
"h211","2021-01-13",-9.82865628440177
"h212","2021-01-14",-9.79164706974412
"h213","2021-01-15",-9.7397623315144
"h214","2021-01-19",-9.68765393489343
"h215","2021-01-20",-9.63993697375933
"h216","2021-01-21",-9.60382534380531
"h217","2021-01-22",-9.56196965416848
"h218","2021-01-25",-9.5217694114413
"h219","2021-01-26",-9.47468882423764
"h220","2021-01-27",-9.4145763415453
"h221","2021-01-28",-9.39441692932342
"h222","2021-01-29",-9.37600485202335
