"","x_vals","mean.h"
"h160",2018-08-21,-10.5842079570319
"h161",2018-08-22,-10.6003162097423
"h162",2018-08-23,-10.6062222808347
"h163",2018-08-24,-10.5959326341658
"h164",2018-08-27,-10.5988539054005
"h165",2018-08-28,-10.6185285551673
"h166",2018-08-29,-10.6206974047723
"h167",2018-08-30,-10.6299899800838
"h168",2018-08-31,-10.6427344916575
"h169",2018-09-04,-10.6394038271904
"h170",2018-09-05,-10.6275736728656
"h171",2018-09-06,-10.6123364872401
"h172",2018-09-07,-10.5911631902038
"h173",2018-09-10,-10.5595526054364
"h174",2018-09-11,-10.5216516992396
"h175",2018-09-12,-10.4903138435395
"h176",2018-09-13,-10.4466485897885
"h177",2018-09-14,-10.4117492625215
"h178",2018-09-17,-10.3700382412969
"h179",2018-09-18,-10.3398362189307
"h180",2018-09-19,-10.3069918730525
"h181",2018-09-20,-10.2581271333574
"h182",2018-09-21,-10.2259594272289
"h183",2018-09-24,-10.1830997090609
"h184",2018-09-25,-10.133201441277
"h185",2018-09-26,-10.068748662635
"h186",2018-09-27,-9.99905008324246
"h187",2018-09-28,-9.92122395360408
"h188",2018-10-01,-9.82542046420103
"h189",2018-10-02,-9.71927144121614
"h190",2018-10-03,-9.60234161930054
"h191",2018-10-04,-9.46885896867701
"h192",2018-10-05,-9.33413853175894
"h193",2018-10-08,-9.20101384448019
"h194",2018-10-09,-9.05875647737565
"h195",2018-10-10,-8.90468697152705
"h196",2018-10-11,-8.83302032999101
"h197",2018-10-12,-8.78662325916361
"h198",2018-10-15,-8.74612954581112
"h199",2018-10-16,-8.70170103941792
"h200",2018-10-17,-8.67322508247466
"h201",2018-10-18,-8.6347330122298
"h202",2018-10-19,-8.5976945512462
"h203",2018-10-22,-8.55736268317733
"h204",2018-10-23,-8.50728012229566
"h205",2018-10-24,-8.44978764651263
"h206",2018-10-25,-8.43948884480824
"h207",2018-10-26,-8.44025800127494
"h208",2018-10-29,-8.45376590750092
"h209",2018-10-30,-8.4657161531522
"h210",2018-10-31,-8.48308289610546
"h211",2018-11-01,-8.49682831630846
"h212",2018-11-02,-8.50882335079006
"h213",2018-11-05,-8.51193278515481
"h214",2018-11-06,-8.5080252358789
"h215",2018-11-07,-8.49599082703951
"h216",2018-11-08,-8.49857043137733
