"","x_vals","mean.h"
"h697",2020-10-08,-8.67097196096173
"h698",2020-10-09,-8.68383090913217
"h699",2020-10-12,-8.69707414925139
"h700",2020-10-13,-8.71384197917035
"h701",2020-10-14,-8.72300362960403
"h702",2020-10-15,-8.71517910092805
"h703",2020-10-16,-8.69493166152459
"h704",2020-10-19,-8.67312208003842
"h705",2020-10-20,-8.66490159989994
"h706",2020-10-21,-8.64987071142898
"h707",2020-10-22,-8.62329098584217
"h708",2020-10-23,-8.58728623600808
"h709",2020-10-26,-8.5394955580818
"h710",2020-10-27,-8.50802983751749
"h711",2020-10-28,-8.4729324852967
"h712",2020-10-29,-8.49867781019403
"h713",2020-10-30,-8.52354803604929
"h714",2020-11-02,-8.54518770114004
"h715",2020-11-03,-8.55989727167683
"h716",2020-11-04,-8.58974272365307
"h717",2020-11-05,-8.6435007924551
"h718",2020-11-06,-8.71008114682285
"h719",2020-11-09,-8.76263989413289
"h720",2020-11-10,-8.81976532798022
"h721",2020-11-11,-8.86951687089514
"h722",2020-11-12,-8.91169058343807
"h723",2020-11-13,-8.95366988226363
"h724",2020-11-16,-9.00382811715098
"h725",2020-11-17,-9.06241209090407
"h726",2020-11-18,-9.10964876252238
"h727",2020-11-19,-9.16831614877729
"h728",2020-11-20,-9.22768086085075
"h729",2020-11-23,-9.28072019495603
"h730",2020-11-24,-9.32914536483988
"h731",2020-11-25,-9.39938269360974
"h732",2020-11-27,-9.45345042275727
"h733",2020-11-30,-9.50045182876189
"h734",2020-12-01,-9.53628877874006
"h735",2020-12-02,-9.5808204217531
"h736",2020-12-03,-9.61475635530909
"h737",2020-12-04,-9.63409915031606
"h738",2020-12-07,-9.66613600627474
"h739",2020-12-08,-9.68348002519368
"h740",2020-12-09,-9.69409454784268
"h741",2020-12-10,-9.71415078470929
"h742",2020-12-11,-9.73399234174176
"h743",2020-12-14,-9.74516543488469
"h744",2020-12-15,-9.75189677606159
"h745",2020-12-16,-9.78264185361266
"h746",2020-12-17,-9.80367833866915
"h747",2020-12-18,-9.81602330275569
"h748",2020-12-21,-9.81758000861135
"h749",2020-12-22,-9.81082494776395
"h750",2020-12-23,-9.79351531940327
"h751",2020-12-24,-9.76062428753809
"h752",2020-12-28,-9.7271844918904
"h753",2020-12-29,-9.70146720519813
"h754",2020-12-30,-9.66118110379575
"h755",2020-12-31,-9.61445584328683
"h756",2021-01-04,-9.5604162079261
"h757",2021-01-05,-9.54003718293053
"h758",2021-01-06,-9.51960410305895
"h759",2021-01-07,-9.49674711792353
"h760",2021-01-08,-9.49315904310544
"h761",2021-01-11,-9.48761211316109
"h762",2021-01-12,-9.47683691374861
"h763",2021-01-13,-9.44125110794167
"h764",2021-01-14,-9.40411284579933
"h765",2021-01-15,-9.359219852705
"h766",2021-01-19,-9.31770649082489
"h767",2021-01-20,-9.27279329649928
"h768",2021-01-21,-9.24598187597517
"h769",2021-01-22,-9.21554317709703
"h770",2021-01-25,-9.17842916475755
"h771",2021-01-26,-9.12633222925667
"h772",2021-01-27,-9.06614900299835
"h773",2021-01-28,-9.06192215651427
"h774",2021-01-29,-9.05547864894568
"h775",2021-02-01,-9.07864709600575
"h776",2021-02-02,-9.11770092313932
"h777",2021-02-03,-9.16700300951207
"h778",2021-02-04,-9.19912591572465
"h779",2021-02-05,-9.23788635056928
"h780",2021-02-08,-9.26483482833209
"h781",2021-02-09,-9.29348989650048
"h782",2021-02-10,-9.31279340367252
"h783",2021-02-11,-9.32378574315509
"h784",2021-02-12,-9.3207989855969
"h785",2021-02-16,-9.30994372383569
"h786",2021-02-17,-9.2822354912994
"h787",2021-02-18,-9.24753451805035
"h788",2021-02-19,-9.20367243991933
"h789",2021-02-22,-9.15351684960063
"h790",2021-02-23,-9.09713225819063
"h791",2021-02-24,-9.03146785494314
"h792",2021-02-25,-8.96336165967621
"h793",2021-02-26,-8.93996523176179
"h794",2021-03-01,-8.90747349201404
"h795",2021-03-02,-8.91592735753421
"h796",2021-03-03,-8.9142357031157
"h797",2021-03-04,-8.92742764674926
"h798",2021-03-05,-8.94934345310452
"h799",2021-03-08,-8.99392665663191
"h800",2021-03-09,-9.03273622459862
"h801",2021-03-10,-9.08468399774668
"h802",2021-03-11,-9.13011637243077
"h803",2021-03-12,-9.1760597079635
"h804",2021-03-15,-9.21848063869708
"h805",2021-03-16,-9.2531974768537
"h806",2021-03-17,-9.28287048411299
"h807",2021-03-18,-9.29759418070577
"h808",2021-03-19,-9.33198888429572
"h809",2021-03-22,-9.35287803741517
"h810",2021-03-23,-9.37199362263264
"h811",2021-03-24,-9.39440470830092
"h812",2021-03-25,-9.4121543823434
"h813",2021-03-26,-9.42300886906363
"h814",2021-03-29,-9.46398216393176
"h815",2021-03-30,-9.48403369447657
"h816",2021-03-31,-9.49362205053835
"h817",2021-04-01,-9.49663678549747
"h818",2021-04-05,-9.51578042710241
"h819",2021-04-06,-9.55755932522556
"h820",2021-04-07,-9.58691675892928
"h821",2021-04-08,-9.60665959669593
"h822",2021-04-09,-9.61928089233129
"h823",2021-04-12,-9.63570572305432
"h824",2021-04-13,-9.64100193016082
"h825",2021-04-14,-9.63899869796577
"h826",2021-04-15,-9.62245359762787
"h827",2021-04-16,-9.62171953053182
"h828",2021-04-19,-9.61150528664724
"h829",2021-04-20,-9.59887662519451
"h830",2021-04-21,-9.58968661815217
"h831",2021-04-22,-9.58385905077933
"h832",2021-04-23,-9.58129296415765
"h833",2021-04-26,-9.59222165580398
"h834",2021-04-27,-9.59784144375986
"h835",2021-04-28,-9.59000114109584
"h836",2021-04-29,-9.57485838595443
"h837",2021-04-30,-9.55983008755435
"h838",2021-05-03,-9.54111993408187
"h839",2021-05-04,-9.51550929441181
"h840",2021-05-05,-9.48941864966195
"h841",2021-05-06,-9.46021402142338
"h842",2021-05-07,-9.42659005267411
"h843",2021-05-10,-9.39338175868263
"h844",2021-05-11,-9.37186762916419
"h845",2021-05-12,-9.35358553270557
"h846",2021-05-13,-9.3898131004746
"h847",2021-05-14,-9.43927624307858
"h848",2021-05-17,-9.50839621649433
"h849",2021-05-18,-9.56950177626354
"h850",2021-05-19,-9.63361318287013
"h851",2021-05-20,-9.69032521296243
"h852",2021-05-21,-9.75749443752647
"h853",2021-05-24,-9.81324725189744
"h854",2021-05-25,-9.88296120413387
"h855",2021-05-26,-9.94522675358903
"h856",2021-05-27,-9.99315935763495
"h857",2021-05-28,-10.0332637391514
"h858",2021-06-01,-10.0656693534527
"h859",2021-06-02,-10.0849927911412
"h860",2021-06-03,-10.092819181158
"h861",2021-06-04,-10.0909419144313
"h862",2021-06-07,-10.108827923719
"h863",2021-06-08,-10.1039073809631
"h864",2021-06-09,-10.0926335906845
"h865",2021-06-10,-10.0801340196996
"h866",2021-06-11,-10.0674469967879
"h867",2021-06-14,-10.0459052135491
"h868",2021-06-15,-10.0199484334013
"h869",2021-06-16,-9.98982850220665
"h870",2021-06-17,-9.96123316669047
"h871",2021-06-18,-9.92006361144482
"h872",2021-06-21,-9.91610212665124
"h873",2021-06-22,-9.95424789135754
"h874",2021-06-23,-9.99038317183966
"h875",2021-06-24,-10.0130252936274
"h876",2021-06-25,-10.0326192862194
"h877",2021-06-28,-10.0523338392455
"h878",2021-06-29,-10.0594633480182
"h879",2021-06-30,-10.0498609621673
"h880",2021-07-01,-10.0243978789948
"h881",2021-07-02,-9.9971968163845
"h882",2021-07-06,-9.9720524759736
"h883",2021-07-07,-9.93547235796058
"h884",2021-07-08,-9.89168465515543
"h885",2021-07-09,-9.86008744146281
"h886",2021-07-12,-9.84415486204626
"h887",2021-07-13,-9.82516792545456
"h888",2021-07-14,-9.80125712606752
"h889",2021-07-15,-9.77217546558764
"h890",2021-07-16,-9.74293225214152
"h891",2021-07-19,-9.71906544011775
"h892",2021-07-20,-9.73586270409574
"h893",2021-07-21,-9.78717370325205
"h894",2021-07-22,-9.84732974240941
"h895",2021-07-23,-9.88918951193038
"h896",2021-07-26,-9.95197145060072
"h897",2021-07-27,-10.0084845069144
"h898",2021-07-28,-10.0618943367357
"h899",2021-07-29,-10.1058449627063
"h900",2021-07-30,-10.1522021284174
"h901",2021-08-02,-10.1848935659035
"h902",2021-08-03,-10.2013613306331
"h903",2021-08-04,-10.23124539456
"h904",2021-08-05,-10.2511482546571
"h905",2021-08-06,-10.2750694729228
"h906",2021-08-09,-10.2920098282498
"h907",2021-08-10,-10.2994194425517
"h908",2021-08-11,-10.3019319836759
"h909",2021-08-12,-10.292233753047
"h910",2021-08-13,-10.2770527173809
"h911",2021-08-16,-10.2488960745546
"h912",2021-08-17,-10.2102489753237
"h913",2021-08-18,-10.1764097756573
"h914",2021-08-19,-10.1658743817956
"h915",2021-08-20,-10.1426711504052
"h916",2021-08-23,-10.1323653930925
"h917",2021-08-24,-10.1420086086011
"h918",2021-08-25,-10.1477156024386
"h919",2021-08-26,-10.1449530639997
"h920",2021-08-27,-10.1435166486115
"h921",2021-08-30,-10.1576998036197
"h922",2021-08-31,-10.166833032256
"h923",2021-09-01,-10.1731736090346
"h924",2021-09-02,-10.1670583708917
"h925",2021-09-03,-10.1446151258697
"h926",2021-09-07,-10.1122993469533
"h927",2021-09-08,-10.0764190200965
"h928",2021-09-09,-10.0247598432612
"h929",2021-09-10,-9.96465216269415
"h930",2021-09-13,-9.91205557110848
"h931",2021-09-14,-9.84474206423611
"h932",2021-09-15,-9.77418935647501
"h933",2021-09-16,-9.70249434532555
"h934",2021-09-17,-9.61551904263697
"h935",2021-09-20,-9.53262888205677
"h936",2021-09-21,-9.49869235399035
"h937",2021-09-22,-9.45266757335257
"h938",2021-09-23,-9.41072285397562
"h939",2021-09-24,-9.38771916800493
"h940",2021-09-27,-9.35004661798471
"h941",2021-09-28,-9.30528634873559
"h942",2021-09-29,-9.30859724965546
"h943",2021-09-30,-9.29785108500008
"h944",2021-10-01,-9.29746962305185
"h945",2021-10-04,-9.30901354695961
"h946",2021-10-05,-9.34219217146786
"h947",2021-10-06,-9.38583845325576
"h948",2021-10-07,-9.42642850131596
"h949",2021-10-08,-9.4702610435139
"h950",2021-10-11,-9.49910324862788
"h951",2021-10-12,-9.52623832654417
"h952",2021-10-13,-9.55020949789578
"h953",2021-10-14,-9.56759093392401
"h954",2021-10-15,-9.62005027694783
"h955",2021-10-18,-9.67336825366203
"h956",2021-10-19,-9.71706663709445
"h957",2021-10-20,-9.76805517039308
"h958",2021-10-21,-9.81286187260106
"h959",2021-10-22,-9.84865595478487
"h960",2021-10-25,-9.87164793420002
"h961",2021-10-26,-9.89286508043567
"h962",2021-10-27,-9.90608069279471
"h963",2021-10-28,-9.91838897293089
"h964",2021-10-29,-9.93832447852108
"h965",2021-11-01,-9.94606203866649
"h966",2021-11-02,-9.9429085086089
"h967",2021-11-03,-9.93194000736824
"h968",2021-11-04,-9.92327418133974
"h969",2021-11-05,-9.9019550508421
"h970",2021-11-08,-9.87951291555471
"h971",2021-11-09,-9.85014408139209
"h972",2021-11-10,-9.81526049582683
"h973",2021-11-11,-9.78555137583207
"h974",2021-11-12,-9.73751736076645
"h975",2021-11-15,-9.68853485988865
"h976",2021-11-16,-9.63913322665498
"h977",2021-11-17,-9.58085389185752
"h978",2021-11-18,-9.50747433837794
"h979",2021-11-19,-9.42565588144271
"h980",2021-11-22,-9.33990833323244
"h981",2021-11-23,-9.24496187182936
"h982",2021-11-24,-9.14560404201744
"h983",2021-11-26,-9.03666918578185
"h984",2021-11-29,-8.97020169182799
"h985",2021-11-30,-8.91078723831857
"h986",2021-12-01,-8.88027695701457
"h987",2021-12-02,-8.84930219232852
"h988",2021-12-03,-8.82734192512449
"h989",2021-12-06,-8.80576477385828
"h990",2021-12-07,-8.78504485464301
"h991",2021-12-08,-8.78968924386942
"h992",2021-12-09,-8.78559669068713
"h993",2021-12-10,-8.7734791426484
"h994",2021-12-13,-8.76139920826026
"h995",2021-12-14,-8.7460287148557
"h996",2021-12-15,-8.72529382548736
"h997",2021-12-16,-8.71849097089833
"h998",2021-12-17,-8.71347277036481
"h999",2021-12-20,-8.70410673543924
"h1000",2021-12-21,-8.6954708259052
"h1001",2021-12-22,-8.70063153587094
"h1002",2021-12-23,-8.71012720107725
"h1003",2021-12-27,-8.70951255081655
"h1004",2021-12-28,-8.71501034507604
"h1005",2021-12-29,-8.71390789321204
"h1006",2021-12-30,-8.702763780368
"h1007",2021-12-31,-8.68329698699226
"h1008",2022-01-03,-8.64907782657243
"h1009",2022-01-04,-8.60392321087832
"h1010",2022-01-05,-8.552013528927
"h1011",2022-01-06,-8.52429606665108
"h1012",2022-01-07,-8.48964138145336
"h1013",2022-01-10,-8.44871716803367
"h1014",2022-01-11,-8.39691685136301
"h1015",2022-01-12,-8.33675756667192
"h1016",2022-01-13,-8.27579541008703
"h1017",2022-01-14,-8.21651954985588
"h1018",2022-01-18,-8.14391880137533
"h1019",2022-01-19,-8.06805208807699
"h1020",2022-01-20,-7.98087086067231
"h1021",2022-01-21,-7.89401449980124
"h1022",2022-01-24,-7.80736432411789
"h1023",2022-01-25,-7.70693477284293
"h1024",2022-01-26,-7.60255049218119
"h1025",2022-01-27,-7.48753144672039
"h1026",2022-01-28,-7.36898369904981
"h1027",2022-01-31,-7.25759248001977
"h1028",2022-02-01,-7.14736776886876
"h1029",2022-02-02,-7.03039498584529
"h1030",2022-02-03,-6.90172371947964
"h1031",2022-02-04,-6.77022537216639
"h1032",2022-02-07,-6.62185267294184
"h1033",2022-02-08,-6.45994917798934
"h1034",2022-02-09,-6.28613636854486
"h1035",2022-02-10,-6.1044717889084
"h1036",2022-02-11,-5.91764474486224
